AAA 177	  Independent Studies	  (0-6)	
BIO 407/BIO 507	  Ichthyology	  (4)	
BIO 408/BIO 508	  Ornithology	  (4)	
BIO 409/BIO 509	  Herpetology	  (4)	
BIO 410/BIO 510	  Mammalogy	  (4)	
BIO 411/BIO 511	  General Entomology	  (4)	
BIO 419R	  Independent Research Capstone	  (3) (MPC)	
BIO 422/BIO 522	  Evolutionary and Population Genetics	  (4) (MPC)	
BIO 424/BIO 524	  Advanced Experimental Techniques in Structural and Functional Genomics	  (4)	
BIO 425/BIO 525	  Environmental Plant Physiology	  (4) (MPT)	
BIO 431/BIO 531	  Global Plant Diversity	  (3) (MPT)	
BIO 432/BIO 532	  Ecoregions of North America	  (3) (MPT)	
BIO 433	  Field Ecology	  (3)	
BIO 435/BIO 535	  Winter Biology	  (3) (MPC)	
BIO 437/BIO 537	  Paleontology in Conservation	  (3)	
BIO 438/BIO 538	  Soil Ecology and Sustainable Use	  (3)	
BIO 444/BIO 544	  Molecular Biology	  (3) (MPC)	
BIO 449/BIO 549	  Biology of Cancer	  (3)	
BIO 451/BIO 551	  Conservation Education and Community Engagement	  (3) (MPC)	
BIO 452/BIO 552	  Nerve and Muscle Physiology	  (4) (MPC)	
BIO 453/BIO 553	  Animal Physiological Ecology	  (4) (MPC)	
BIO 454/BIO 554	  Endocrinology	  (3) (MPC)	
BIO 455	  Comparative Exercise Physiology	  (3)	
BIO 457/BIO 557	  Neuroanatomy	  (3)	
BIO 459/BIO 559	  Advanced Neuroscience with Lab	  (3)	
BIO 463/BIO 563	  Limnology	  (4) (MPT)	
BIO 464/BIO 564	  Laboratory in Cell and Molecular Biology	  (3)	
BIO 465/BIO 565	  Animal Behavior	  (4) (MPC)	
BIO 466/BIO 566	  Bioinformatics Computing Skills	  (3)	
BIO 467/BIO 567	  Conservation Biology	  (3) (MPC)	
BIO 469/BIO 569	  Neurophysiology	  (3) (MPC)	
BIO 471/BIO 571	  Molecular Physiology	  (3)	
BIO 477	  Independent Studies	  (0-6)	
BIO 480	  Departmental Honors	  (1-6; maximum 6)	
BIO 481/BIO 581	  Theory of Electron Microscopy	  (3)	
BIO 482/BIO 582	  Scanning Electron Microscopy Laboratory	  (2)	
BIO 483/BIO 583	  Transmission Electron Microscopy Laboratory	  (3)	
BIO 485/BIO 585	  Bioinformatics Principles	  (3)	
BIO 490	  Botany Capstone Seminar	  (1) (MPC)	
BIO 491	  Seminar in Biology	  (1; maximum 2)	
BIO 496	  Biodiversity of Kenya	  (6) (MPC)	
BIO 497/BIO 597	  Socio-Ecology of Primates	  (3)	
BIO 498/BIO 598	  Evolution of Human Behavior	  (3) (MPC)	
BIO 601	  Seminar for Graduate Students	  (1)	
BIO 605	  Advanced Molecular Biology	  (3)	
BIO 606	  Advanced Cell Biology	  (3)	
BIO 620	  Graduate Research	  (1-12; maximum 14)	
BIO 622	  Urban Ecology	  (3)	
BIO 623	  Human Dimensions of Conservation	  (3)	
BIO 624	  Pollinator Biology & Conservation	  (2)	
BIO 627	  Global Biomes	  (2-3)	
BIO 631	  Conservation Science & Community	  (3)	
BIO 632	  Biology in the Age of Technology	  (3)	
BIO 634	  Issues in Evolution	  (3)	
BIO 635	  Leadership in Science Inquiry	  (2)	
BIO 636	  Science Leadership & Media Workshop	  (3)	
BIO 637	  Master's Capstone	  (2)	
BIO 638	  Climate Change	  (3)	
BIO 639	  Master's Capstone: MAT	  (2)	
BIO 640	  Internship	  (0-12; maximum 6)	
BIO 641	  Earth Expeditions: Advanced Field	  (5)	
BIO 642	  Amazon: Avian & Tropical Ecology	  (5)	
BIO 643	  Australia: Great Barrier Reef	  (5)	
BIO 644	  Baja: Field Methods	  (5)	
BIO 645	  Belize: Approaches to Environmental Stewardship	  (5)	
BIO 646	  Borneo: Primate Conservation	  (5)	
BIO 647	  Guyana: Local Wisdom & Conservation	  (5)	
BIO 648	  Hawai'i: Saving Species	  (5)	
BIO 649	  Kenya: Wildlife & People in Integrated Landscapes	  (5)	
BIO 650	  Seminar in Molecular Biology	  (1)	
BIO 651	  Mongolia: Steppe Ecology & Civic Media	  (5)	
BIO 652	  Thailand: Buddhism & Conservation	  (5)	
BIO 653	  India: Species, Deities & Communities	  (5)	
BIO 654	  Foundations of Inquiry	  (3)	
BIO 655	  Master Plan in Action	  (1-3)	
BIO 656	  Environmental Stewardship in My Community	  (3)	
BIO 657	  Regional Ecology	  (3)	
BIO 658	  Ecophysiology	  (3)	
BIO 659	  Great Lakes Ecosystems	  (3)	
BIO 662	  Animal Behavior & Conservation	  (3)	
BIO 663	  Project Design & Assessment	  (3)	
BIO 667	  Conservation Research at Living Collection Institutions	  (3)	
BIO 668	  Biology Through Inquiry	  (3)	
BIO 671	  Population and Community Ecology	  (4)	
BIO 672	  Ecosystem and Global Ecology	  (4)	
BIO 675	  Inquiry & Action	  (2; maximum 6)	
BIO 677	  Independent Studies	  (0-6)	
BIO 681	  Galápagos: Islands of Change	  (5)	
BIO 682	  Paraguay: Eco-Leadership	  (5)	
BIO 683	  Brazil: Saving Golden Lion Tamarins	  (5)	
BIO 689	  Pedagogy For Graduate Students	  (1)	
BIO 691	  Costa Rica: Ecology & Ecotourism	  (5)	
BIO 692	  Namibia: Great Cat Conservation	  (5)	
BIO 694	  Habitats, Adaptations, & Evolution	  (3)	
BIO 695	  Plants & People	  (3)	
BIO 696	  Primate Behavior & Conservation	  (3)	
BIO 700	  Research for Master's Thesis	  (1-12; maximum 12)	
BIO 704	  Non-Thesis Project	  (0-12; maximum 12)	
BIO 710	  Advanced Seminar	  (1-4; maximum 4)	
BIO 720	  Doctoral Research	  (1-12; maximum 14)	
BIO 750	  Advanced Topics in Biology	  (1-5; maximum 20)	
BIO 790	  Research in Biology	  (1-8; maximum 12)	
BIO 850	  Research for Doctoral Dissertation	  (1-16)	
BIS 177	  Independent Studies	  (0-6)	
BIS 201	  Introduction to Integrative Studies	  (3)	
BIS 210	  Special Topics in Integrative Studies	  (3; maximum 6)	
BIS 277	  Independent Studies	  (0-6)	
BIS 301	  Integrative Studies Seminar II	  (3)	
BIS 305	  Integrative Writing in Global Contexts	  (3)	
BIS 340	  Internship	  (0-20)	
BIS 377	  Independent Studies	  (0-6)	
BIS 401	  Senior Integrative Seminar	  (3) (MPC)	
BIS 410	  Advanced Special Topics Seminar in Integrative Studies	  (3; maximum 6)	
BIS 477	  Independent Studies	  (0-6)	
BLS 177	  Independent Studies	  (0-6)	
BLS 277	  Independent Studies	  (0-6)	
BLS 340	  Internship	  (0-20)	
BLS 342	  Legal Environment of Business	  (3) (MPT)	
BLS 377	  Independent Studies	  (0-6)	
BLS 442	  Business Associations & Communal Law	  (3) (MPT)	
BLS 443	  Property Law	  (3)	
BLS 462	  Estates, Wills & Trusts	  (3) (MPT)	
BLS 464	  International Business Law	  (3) (MPT)	
BLS 465	  Ethics, Law, & Business	  (3) (MPC)	
BLS 477	  Independent Studies	  (0-6)	
BLS 677	  Independent Studies	  (0-6)	
BSC 292	  Applied Biology Sophomore Seminar: Planning Your Future in Applied Biology	  (1)	
BSC 313	  Microbial Diversity	  (4)	
BSC 321	  Research in Applied Biology	  (1-3; maximum 3)	
BSC 340	  Internship	  (0-20)	
BSC 377	  Independent Studies	  (0-6)	
BSC 415	  Approaches to Problem Solving and Research in Applied Biology Capstone	  (3) (MPC)	
BSC 416	  Applications of Biotechnology to Human Health: Concepts and Issues	  (3) (MPC)	
BSC 475	  Capstone in Environmental Biology	  (3) (MPC)	
BSC 477	  Independent Studies	  (0-6)	
BSC 492	  Applied Biology Senior Seminar: Becoming a Professional Biologist	  (1)	
BUS 101	  Foundations of Business	  (2)	
BUS 102	  Foundations of Business Communication	  (2)	
BUS 104	  Introduction to Computational Thinking for Business	  (2)	
BUS 106	  Farmer School of Business Success Strategies	  (1)	
BUS 115	  Int'l Student Support	  (1)	
BUS 151	  Exploring International Business	  (1)	
BUS 177	  Independent Studies	  (0-6)	
BUS 203	  Business Writing Consulting	  (1)	
BUS 206	  Exploration for Business Majors	  (1)	
BUS 241	  Business in the Global Market	  (1)	
BUS 277	  Independent Studies	  (0-6)	
BUS 284	  Professional Communication for Business	  (3)	
BUS 301	  Basics of Business I	  (3) (MPT)	
BUS 302	  Basics of Business II	  (3) (MPT)	
BUS 303	  Business Process Integration	  (3) (MPT)	
BUS 340	  Internship	  (0-20)	
BUS 371	  International Business	  (3)	
BUS 371L	  International Business	  (3)	
BUS 373	  International Business in Focus	  (3)	
BUS 377	  Independent Studies	  (0-6)	
BUS 420	  FSB International Studies Programs	  (1-3; maximum 6)	
BUS 450C	  Senior Honors Colloquium	  (1)	
BUS 477	  Independent Studies	  (0-6)	
BUS 494/BUS 594	  Sustainability Perspectives in Resources and Business	  (3) (MPC)	
BUS 601	  Consulting Capstone	  (6)	
BUS 637	  Managing Competition	  (3)	
BWS 101	  Introduction to Strategic Learning Tools in BWS	  (1)	
BWS 156	  Introduction to Africa	  (4) (MPF)	
BWS 177	  Independent Studies	  (0-6)	
BWS 181	  Introduction to Civil Rights and Social Movements	  (1)	
BWS 182	  Human Rights & Social Movements	  (1)	
BWS 204	  Brazilian Culture Through Popular Music	  (3) (MPF)	
BWS 211	  Writing with Purpose: Interdisciplinary Inquiry and Communication	  (3)	
BWS 221	  African-American History	  (3) (MPT)	
BWS 222	  Race and Ethnicity in Antiquity	  (3) (MPT)	
BWS 224	  Africa to 1884	  (3) (MPF)	
BWS 225	  The Making of Modern Africa	  (3) (MPF)	
BWS 243	  History of the Atlantic Slave Trade, 1400s to 1800s	  (3)	
BWS 248	  African-American Experience	  (3)	
BWS 265	  Critical Inquiry: Penny Lecture Series	  (2)	
BWS 276	  Introduction to the Art of the Black Diaspora	  (3) (MPF)	
BWS 277	  Independent Studies	  (0-6)	
BWS 279	  African Americans in Sport	  (3) (MPF)	
BWS 301	  Geography of Sub-Saharan Africa	  (4) (MPT)	
BWS 307	  The Middle East: Anthropological Perspectives	  (3) (MPF, MPT)	
BWS 325	  Identity, Race, Gender, Class	  (3) (MPT)	
BWS 335	  Arts of West Africa	  (3)	
BWS 336	  African American Writing, 1746-1877	  (3) (MPT)	
BWS 337	  African American Writing, 1878-1945	  (3) (MPT)	
BWS 338	  African American Writing, 1946-Present	  (3) (MPT)	
BWS 340	  Internship	  (0-20)	
BWS 342	  Africa Since 1945	  (3)	
BWS 343	  African-American Religions	  (3)	
BWS 348	  Race and Ethnic Relations	  (3) (MPT)	
BWS 362	  Family Poverty	  (3)	
BWS 365	  Civil War and Reconstruction Era	  (3)	
BWS 370	  Selected Topics/Black World Studies	  (3; maximum 9)	
BWS 370I	  Selected Topics/Black World Studies	  (3)	
BWS 377	  Independent Studies	  (0-6)	
BWS 381	  Afro-Brazilian Diaspora Through Film and Arts	  (3)	
BWS 383	  Brazilian Women through Literature and Film	  (3) (MPF)	
BWS 385	  Race, Science, and Disease in the Americas	  (3)	
BWS 386	  Race in U	S. Society.  (3)	
BWS 401	  Race and Criminal Justice	  (3)	
BWS 402	  Engaged Learning Practicum	  (1-6; maximum 6)	
BWS 432	  Feminism and the Diaspora: U	S. Women of Color.  (3)	
BWS 437	  Black Feminist Studies	  (3)	
BWS 470	  Social/Political Activism	  (3) (MPC)	
BWS 477	  Independent Studies	  (0-6)	
BWS 677	  Independent Studies	  (0-6)	
CAS 116	  American Academic Culture Comm	  (3)	
CAS 131	  Practical English Grammar for English Language Learners	  (3)	
CAS 133	  Advanced Communication Strategies II: Speaking and Listening for Academic Contexts	  (3)	
CAS 134	  Critical Reading & Discussion in Academic Contexts for English Language Learners	  (3)	
CAS 277	  Independent Studies	  (0-6)	
CAS 340	  Internship	  (0-20)	
CAS 377	  Independent Studies	  (0-6)	
CAS 477	  Independent Studies	  (0-6)	
CCA 111	  Innovation, Creativity and Design Thinking	  (3) (MPF)	
CCA 121	  Introduction to the Integrated Arts and Culture	  (3) (MPF)	
CCA 177	  Independent Studies	  (0-6)	
CCA 182	  Experiencing the Arts	  (1-2)	
CCA 201	  Introduction to Arts Management	  (3)	
CCA 221	  Immersion in the Integrated Arts and Culture	  (3)	
CCA 222	  Museums and Collections: Beyond the Curio Cabinet	  (3)	
CCA 231	  Dance for the Musical Stage	  (3)	
CCA 232	  Museums Today: Content, Practices and Audiences	  (3)	
CCA 256	  Arts Management Practicum	  (1; maximum 3)	
CCA 277	  Independent Studies	  (0-6)	
CCA 299T	  Theatre NYC - Producing	  (3)	
CCA 302	  Arts Marketing	  (1.5)	
CCA 303	  Arts Engagement	  (1.5)	
CCA 304	  Financial Managenent in the Arts	  (1.5)	
CCA 305	  Development and Fundraising in the Arts	  (1.5)	
CCA 306	  Arts Entrepreneurship	  (1.5)	
CCA 307	  Arts Venture Creation	  (1.5)	
CCA 321	  Application in the Integrated Arts and Culture	  (3)	
CCA 331	  Acting for the Musical Stage	  (3)	
CCA 340	  Internship	  (0-20)	
CCA 377	  Independent Studies	  (0-6)	
CCA 401	  Strategic Planning for the Arts	  (3)	
CCA 410	  Advanced Topics in the Creative Arts	  (1-4)	
CCA 443/CCA 543	  Study Abroad: Arts and Culture	  (6)	
CCA 477	  Independent Studies	  (0-6)	
CCA 677	  Independent Study	  (0-6)	
CEC 101	  Computing, Engineering & Society	  (1)	
CEC 102	  Problem Solving and Design	  (3)	
CEC 130	  Special Topics and Student Projects I	  (1-3; maximum 6)	
CEC 140	  Grand Challenge Scholars Experience	  (0)	
CEC 150	  CEC Scholars Seminar	  (0)	
CEC 177	  Independent Studies	  (0-6)	
CEC 205	  Agile Launchpad I	  (3)	
CEC 206	  Agile Launchpad II	  (3)	
CEC 230	  Special Topics and Student Projects II	  (1-3; maximum 6)	
CEC 255	  CEC Preparation - Study Abroad	  (2; maximum 4)	
CEC 258	  Reflection on CEC Study Abroad Projects	  (1; maximum 2)	
CEC 266	  Metal on Metal: Engineering and Globalization in Heavy Metal Music	  (3) (MPF)	
CEC 277	  Independent Studies	  (0-6)	
CEC 291	  Personal Leadership I	  (2)	
CEC 292	  Personal Leadership II	  (2)	
CEC 330	  Special Topics and Student Projects III	  (1-3; maximum 6)	
CEC 340	  Internship	  (0-20)	
CEC 377	  Independent Studies	  (0-6)	
CEC 391	  People Leadership I	  (2)	
CEC 392	  People Leadership II	  (2)	
CEC 399A	  Community Project in Guatemala	  (3)	
CEC 460	  Special Topics in Engineering and Computing	  (1-3; maximum 6)	
CEC 477	  Independent Studies	  (0-6)	
CEC 488	  Senior Design-Special Projects	  (4) (MPC)	
CEC 491	  Strategic Leadership I	  (1-2; maximum 2)	
CEC 492	  Strategic Leadership II	  (2)	
CHI 101	  Elementary Chinese	  (4)	
CHI 102	  Elementary Chinese	  (4)	
CHI 177	  Independent Studies	  (0-6)	
CHI 201	  Second Year Chinese	  (3) (MPT)	
CHI 202	  Second Year Chinese	  (3) (MPT)	
CHI 251	  Traditional Chinese Literature in English Translation	  (3) (MPF)	
CHI 252	  Modern Chinese Literature in English Translation	  (3) (MPF)	
CHI 253	  Three Kingdoms	  (3)	
CHI 254	  Modern Chinese Autobiography	  (3)	
CHI 255	  Drama in China and Japan in Translation	  (3) (MPF)	
CHI 257	  Chinese Satire	  (3) (MPF)	
CHI 264	  Chinese Cinema and Culture	  (3)	
CHI 271	  Chinese Culture Live	  (1-3)	
CHI 272	  Experience Traditional Chinese Culture	  (3)	
CHI 273	  Experience Traditional Chinese Culture 2	  (3)	
CHI 277	  Independent Studies	  (0-6)	
CHI 301	  Third Year Chinese	  (3) (MPT)	
CHI 302	  Third Year Chinese	  (3)	
CHI 311	  Business Chinese I	  (3)	
CHI 312	  Business Chinese II	  (3)	
CHI 330	  Chinese Verbal Theatre Performance	  (3; maximum 12)	
CHI 377	  Independent Studies	  (0-6)	
CHI 401	  Fourth Year Chinese I	  (3)	
CHI 402	  Fourth Year Chinese II	  (3)	
CHI 477	  Independent Studies	  (0-6)	
CHI 480	  Independent Reading for Departmental Honors	  (1-6)	
CHI 677	  Independent Studies	  (0-6)	
CHM 109	  Chemistry Fundamentals	  (1)	
CHM 111	  Chemistry in Modern Society	  (3) (MPF)	
CHM 111L	  Chemistry in Modern Society Laboratory	  (1) (MPF)	
CHM 121	  Introduction to Forensic Chemistry	  (4) (MPF)	
CHM 131	  Chemistry of Life Processes	  (4) (MPF)	
CHM 141	  College Chemistry	  (3) (MPF)	
CHM 141H	  College Chemistry	  (3) (MPF)	
CHM 141R	  College Chemistry	  (4) (MPF)	
CHM 142	  College Chemistry	  (3) (MPT)	
CHM 142H	  College Chemistry	  (3) (MPT)	
CHM 142M	  College Chemistry for Majors	  (3) (MPT)	
CHM 144	  College Chemistry Laboratory	  (2) (MPF)	
CHM 144H	  College Chemistry Laboratory	  (2) (MPF)	
CHM 144M	  College Chemistry Laboratory for Majors	  (2) (MPF)	
CHM 145	  College Chemistry Laboratory	  (2) (MPT)	
CHM 145H	  College Chemistry Laboratory	  (2) (MPT)	
CHM 145M	  College Chemistry Laboratory	  (2) (MPT)	
CHM 147	  Introductory Seminar-Chemistry/Biochemistry	  (1)	
CHM 177	  Independent Studies	  (0-6)	
CHM 204	  Organic Chemistry I Review	  (1)	
CHM 231	  Fundamentals of Organic Chemistry	  (4) (MPT)	
CHM 241	  Organic Chemistry	  (3) (MPT)	
CHM 242	  Organic Chemistry	  (3)	
CHM 244	  Organic Chemistry Laboratory	  (2) (MPT)	
CHM 245	  Organic Chemistry Laboratory	  (2)	
CHM 251	  Organic Chemistry for Chemistry Majors	  (3) (MPT)	
CHM 252	  Organic Chemistry for Chemistry Majors	  (3)	
CHM 254	  Organic Chemistry Laboratory for Chemistry Majors	  (2) (MPT)	
CHM 255	  Organic Chemistry Laboratory for Chemistry Majors	  (2)	
CHM 277	  Independent Studies	  (0-6)	
CHM 332	  Outlines of Biochemistry	  (3) (MPT)	
CHM 332L	  Outlines of Biochemistry Lab	  (1)	
CHM 340	  Internship	  (0-20)	
CHM 363	  Analytical Chemistry	  (3) (MPT)	
CHM 364	  Analytical Chemistry Laboratory	  (2) (MPT)	
CHM 375	  Analytical Chemistry for Majors	  (3)	
CHM 377	  Independent Studies	  (0-6)	
CHM 410	  Topics in Chemistry Education	  (3; maximum 6)	
CHM 411/CHM 511	  Learning Theories in Chemistry	  (3)	
CHM 415/CHM 515	  Misconceptions in Chemistry	  (3)	
CHM 417/CHM 517	  Advanced Inorganic Chemistry	  (3)	
CHM 419	  Synthesis Lab	  (2)	
CHM 421	  Forensic Trace Analysis	  (2)	
CHM 421L	  Forensic Trace Analysis Laboratory	  (3)	
CHM 424/CHM 524	  Advanced Experimental Techniques in Structural and Functional Genomics	  (4)	
CHM 426/CHM 526	  Spectroscopic Identification of Structure	  (3)	
CHM 429/CHM 529	  Polymer Chemistry	  (2)	
CHM 430	  Topics in Biochemistry	  (1-3; maximum 8)	
CHM 432/CHM 532	  Fundamentals of Biochemistry	  (4) (MPT)	
CHM 436	  Principles in Fermentation	  (3)	
CHM 438	  Biochemistry Laboratory	  (2)	
CHM 450	  Topics in Organic Chemistry	  (3; maximum 6)	
CHM 451/CHM 551	  Physical Chemistry for Chemistry Majors	  (3)	
CHM 452/CHM 552	  Physical Chemistry for Chemistry Majors	  (3)	
CHM 454/CHM 554	  Instrumental Analysis	  (3)	
